Timestamp,Location,Occupancy Level
2025-02-28 13:00:00,Lower Exercise Room,75%
2025-02-28 13:00:00,Upper Exercise Room,94%
2025-02-28 13:00:00,Track Exercise Room,94%
2025-02-28 13:00:00,Open Space,39%
2025-02-28 13:00:00,Chandler Lounge,43%
2025-02-28 13:00:00,San Luis Lounge,25%
2025-02-28 13:15:00,Lower Exercise Room,66%
2025-02-28 13:15:00,Upper Exercise Room,94%
2025-02-28 13:15:00,Track Exercise Room,94%
2025-02-28 13:15:00,Open Space,35%
2025-02-28 13:15:00,Chandler Lounge,47%
2025-02-28 13:15:00,San Luis Lounge,21%
2025-02-28 13:30:00,Lower Exercise Room,62%
2025-02-28 13:30:00,Upper Exercise Room,94%
2025-02-28 13:30:00,Track Exercise Room,94%
2025-02-28 13:30:00,Open Space,36%
2025-02-28 13:30:00,Chandler Lounge,43%
2025-02-28 13:30:00,San Luis Lounge,21%
2025-02-28 13:45:00,Lower Exercise Room,65%
2025-02-28 13:45:00,Upper Exercise Room,94%
2025-02-28 13:45:00,Track Exercise Room,94%
2025-02-28 13:45:00,Open Space,33%
2025-02-28 13:45:00,Chandler Lounge,53%
2025-02-28 13:45:00,San Luis Lounge,21%
2025-02-28 14:15:00,Lower Exercise Room,59%
2025-02-28 14:15:00,Upper Exercise Room,94%
2025-02-28 14:15:00,Track Exercise Room,94%
2025-02-28 14:15:00,Open Space,31%
2025-02-28 14:15:00,Chandler Lounge,50%
2025-02-28 14:15:00,San Luis Lounge,16%
2025-02-28 14:30:00,Lower Exercise Room,59%
2025-02-28 14:30:00,Upper Exercise Room,94%
2025-02-28 14:30:00,Track Exercise Room,94%
2025-02-28 14:30:00,Open Space,31%
2025-02-28 14:30:00,Chandler Lounge,43%
2025-02-28 14:30:00,San Luis Lounge,21%
2025-02-28 15:00:00,Lower Exercise Room,56%
2025-02-28 15:00:00,Upper Exercise Room,94%
2025-02-28 15:00:00,Track Exercise Room,94%
2025-02-28 15:00:00,Open Space,26%
2025-02-28 15:00:00,Chandler Lounge,40%
